accession	level	sample_accession	url
GSE228421	sample	GSM7120468	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.matrix.mtx.gz
GSE173706	series		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173706/suppl/GSE173706_RAW.tar
GSE173706	sample	GSM5277170	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277170/suppl/GSM5277170_NS-AR001.csv.gz
GSE173706	sample	GSM5277171	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277171/suppl/GSM5277171_NS-AR003.csv.gz
GSE173706	sample	GSM5277172	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277172/suppl/GSM5277172_NS-AR004.csv.gz
GSE173706	sample	GSM5277173	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277173/suppl/GSM5277173_NS-AR005.csv.gz
GSE173706	sample	GSM5277174	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277174/suppl/GSM5277174_NS-AR006.csv.gz
GSE173706	sample	GSM5277175	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277175/suppl/GSM5277175_NS-AR007.csv.gz
GSE173706	sample	GSM5277176	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277176/suppl/GSM5277176_NS-AR008.csv.gz
GSE173706	sample	GSM5277177	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277177/suppl/GSM5277177_NS-AR009.csv.gz
GSE173706	sample	GSM5277178	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277178/suppl/GSM5277178_PN-30696.csv.gz
GSE173706	sample	GSM5277179	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277179/suppl/GSM5277179_PN-30696V3.csv.gz
GSE173706	sample	GSM5277180	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277180/suppl/GSM5277180_PN-31170.csv.gz
GSE173706	sample	GSM5277181	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277181/suppl/GSM5277181_PN-31277.csv.gz
