sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086615	F7	EXTENDED	keratinocyte_stress_hypoxia	0.6336017045604415	469
GSM6086615	F7	EXTENDED	fibroblast_matrix	-0.18139441219682123	469
GSM6086615	F7	EXTENDED	fibroblast_inflammatory	0.30616592854489083	469
GSM6086615	F7	EXTENDED	endothelial_vascular	0.27354667981808084	469
GSM6086615	F7	EXTENDED	myeloid_dendritic	0.6213455559840749	469
GSM6086615	F7	EXTENDED	T_NK_cytotoxic	0.5496074376280986	469
GSM6086615	F7	EXTENDED	B_plasma	0.1444608305036965	469
GSM6086616	F1	CORE	keratinocyte_basal	0.3886151695395255	660
GSM6086616	F1	CORE	keratinocyte_spinous_suprabasal	0.42102473801699414	660
GSM6086616	F1	CORE	keratinocyte_inflammatory_T17	0.3154413854443738	660
GSM6086616	F1	CORE	keratinocyte_stress_hypoxia	0.4089529397248013	660
GSM6086616	F1	CORE	fibroblast_matrix	0.2002601982824925	660
GSM6086616	F1	CORE	fibroblast_inflammatory	0.3892159538475843	660
GSM6086616	F1	CORE	endothelial_vascular	0.4450760138386322	660
GSM6086616	F1	CORE	myeloid_dendritic	0.3637234829095952	660
GSM6086616	F1	CORE	T_NK_cytotoxic	0.3730019210421425	660
GSM6086616	F1	CORE	B_plasma	0.19196211016837395	660
GSM6086616	F1	EXTENDED	keratinocyte_basal	0.3770704000117762	660
GSM6086616	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.45825787844275556	660
GSM6086616	F1	EXTENDED	keratinocyte_inflammatory_T17	0.33662934367292174	660
GSM6086616	F1	EXTENDED	keratinocyte_stress_hypoxia	0.40209806920630947	660
GSM6086616	F1	EXTENDED	fibroblast_matrix	0.3335375355987648	660
GSM6086616	F1	EXTENDED	fibroblast_inflammatory	0.4160553570566348	660
GSM6086616	F1	EXTENDED	endothelial_vascular	0.44506709762419744	660
GSM6086616	F1	EXTENDED	myeloid_dendritic	0.3763749637497664	660
GSM6086616	F1	EXTENDED	T_NK_cytotoxic	0.386629266486182	660
GSM6086616	F1	EXTENDED	B_plasma	0.1882581748886342	660
GSM6086616	F2	CORE	keratinocyte_basal	0.3550409577387551	660
GSM6086616	F2	CORE	keratinocyte_spinous_suprabasal	0.4287364460686441	660
GSM6086616	F2	CORE	keratinocyte_inflammatory_T17	0.29901477163716694	660
GSM6086616	F2	CORE	keratinocyte_stress_hypoxia	0.3921695869788319	660
GSM6086616	F2	CORE	fibroblast_matrix	0.40980752681451593	660
GSM6086616	F2	CORE	fibroblast_inflammatory	0.4182268732301928	660
GSM6086616	F2	CORE	endothelial_vascular	0.435905877207332	660
GSM6086616	F2	CORE	myeloid_dendritic	0.3943877160543594	660
GSM6086616	F2	CORE	T_NK_cytotoxic	0.3660185638428355	660
GSM6086616	F2	CORE	B_plasma	0.17783594096306374	660
GSM6086616	F2	EXTENDED	keratinocyte_basal	0.38563943847391857	660
GSM6086616	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.4544193757912402	660
GSM6086616	F2	EXTENDED	keratinocyte_inflammatory_T17	0.3150492463644967	660
GSM6086616	F2	EXTENDED	keratinocyte_stress_hypoxia	0.40273642104704976	660
GSM6086616	F2	EXTENDED	fibroblast_matrix	0.4089036502834235	660
GSM6086616	F2	EXTENDED	fibroblast_inflammatory	0.42977668574625616	660
GSM6086616	F2	EXTENDED	endothelial_vascular	0.4477913843068456	660
GSM6086616	F2	EXTENDED	myeloid_dendritic	0.3943452465118289	660
GSM6086616	F2	EXTENDED	T_NK_cytotoxic	0.37456316502671966	660
GSM6086616	F2	EXTENDED	B_plasma	0.19019168980310236	660
GSM6086616	F6	CORE	keratinocyte_basal	0.35113679176895324	660
GSM6086616	F6	CORE	keratinocyte_spinous_suprabasal	0.41177316427222366	660
GSM6086616	F6	CORE	keratinocyte_inflammatory_T17	0.27558103474035417	660
GSM6086616	F6	CORE	keratinocyte_stress_hypoxia	0.40950625623669146	660
