gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
PSMB6	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB7	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC1	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC2	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC3	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC5	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD11	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD12	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD13	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD2	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD6	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
SEM1	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
RPS27A	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::NIK-->noncanonical NF-kB signaling;Reactome::Negative Regulation of DNA Double Strand Break Response;Reactome::Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	positive	16.122180819511414	22	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
UBA52	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::NIK-->noncanonical NF-kB signaling;Reactome::Negative Regulation of DNA Double Strand Break Response;Reactome::Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	positive	16.122180819511414	22	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
UBB	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::NIK-->noncanonical NF-kB signaling;Reactome::Negative Regulation of DNA Double Strand Break Response;Reactome::Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	positive	16.122180819511414	22	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
