zip_path	zip_exists	zip_size_mb	zip_status	has_besd	has_epi	has_esi	besd_uncompressed_mb	epi_uncompressed_mb	esi_uncompressed_mb	tissue	phase4c_tissue_group	phase4c_relevant	smr_usable	supports_formal_coloc	supports_smr_heidi	smr_runtime
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Ovary.zip	True	960.2	PASS	True	True	True	2476.11	0.9	287.94	Ovary	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Pancreas.zip	True	951.81	PASS	True	True	True	2276.7	0.81	290.79	Pancreas	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Pituitary_Gland.zip	True	0.0	BAD_ZIP	False	False	False				Pituitary_Gland	non_priority	False	False	False	False	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Prostate.zip	True	1059.85	PASS	True	True	True	2641.09	0.95	294.42	Prostate	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Skin_Not_Sun_Exposed_Suprapubic.zip	True	1125.33	PASS	True	True	True	2577.6	0.9	298.72	Skin_Not_Sun_Exposed_Suprapubic	skin	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Skin_Sun_Exposed_Lower_leg.zip	True	1137.0	PASS	True	True	True	2573.59	0.9	299.73	Skin_Sun_Exposed_Lower_leg	skin	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Small_Intestine_Terminal_Ileum.zip	True	772.0	BAD_ZIP	False	False	False				Small_Intestine_Terminal_Ileum	intestinal	True	False	False	False	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Spleen.zip	True	1055.82	PASS	True	True	True	2572.78	0.91	295.34	Spleen	immune	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Testis.zip	True	1409.66	PASS	True	True	True	3473.88	1.26	302.78	Testis	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Thyroid.zip	True	1145.71	PASS	True	True	True	2624.02	0.93	297.69	Thyroid	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Uterus.zip	True	941.15	PASS	True	True	True	2480.94	0.9	288.17	Uterus	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Vagina.zip	True	953.85	PASS	True	True	True	2524.79	0.92	288.61	Vagina	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Whole_Blood.zip	True	954.57	PASS	True	True	True	2103.87	0.72	285.27	Whole_Blood	blood	True	True	False	True	Version 1.4.2 MacOS
