axis	gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
F1	UBA52	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Signaling by TGFB family members;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative;positive	7.312211394309998	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	UBB	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Signaling by TGFB family members;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative;positive	7.312211394309998	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	UBC	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Signaling by TGFB family members;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative;positive	7.312211394309998	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	RBX1	Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	3.6454302072525024	5	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	CREB1	Reactome::CaM pathway;Reactome::Calmodulin induced events;Reactome::DAG and IP3 signaling;Reactome::Expression of BMAL (ARNTL), CLOCK, and NPAS2;Reactome::PKA-mediated phosphorylation of CREB	Reactome	positive	3.5596789717674255	5	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	AURKAIP1	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	CHCHD1	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	DAP3	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	ERAL1	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	GADD45GIP1	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	KGD4	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	MRPL1	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	MRPL10	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	MRPL11	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	MRPL12	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
F1	MRPL13	Reactome::Mitochondrial ribosome-associated quality control;Reactome::Mitochondrial translation;Reactome::Mitochondrial translation elongation;Reactome::Mitochondrial translation initiation	Reactome	negative	3.170873761177063	4	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
