source_table	donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count	axis	program_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type	dominant_cell_type	dominant_mean_score	secondary_cell_type	secondary_mean_score	specificity_delta_vs_second	n_cell_types_observed	core_extended_pseudobulk_spearman	n_donor_celltype_units	contrast	mean_treatment_shift
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	unassigned	0.1389385296971167	1.0	0.0753493700959493	1.0	0.0407478373098195	1.0	0.0581223524395087	1.0	0.1140120248653744	1.0	0.136294961829978	1.0	0.7973522208900317	1.0	0.4011887753065901	1.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	B_cell	0.2917356447545173	796.0	0.1952232827626507	796.0	0.1276104489245405	796.0	0.1527694821148537	796.0	0.2993814652626562	796.0	0.2992730929331066	796.0	1.2204131568382188	796.0	0.6784026050130819	796.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	NK_cell	0.281099602487009	18.0	0.1968689202746474	18.0	0.137744352658543	18.0	0.1540008908092255	18.0	0.3314103929679489	18.0	0.3137036095881191	18.0	1.230507702521358	18.0	0.7007863624620039	18.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	T_cell	0.2650538856841305	120.0	0.1871496888538378	120.0	0.1279383610487962	120.0	0.1428741704940851	120.0	0.3124564538014607	120.0	0.315749047897953	120.0	1.2417863826010265	120.0	0.6986368282427253	120.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	dendritic	0.2941551139588784	82.0	0.2162143992139717	82.0	0.1514103551877364	82.0	0.1700936016563739	82.0	0.3733165570065426	82.0	0.3572832633642904	82.0	1.2704831579432223	82.0	0.760683401921971	82.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	endothelial	0.3125765717649017	1289.0	0.2153588674353986	1289.0	0.1491591995059276	1289.0	0.1729636206448302	1289.0	0.3209780203957177	1289.0	0.318135552448253	1289.0	1.2391668498811312	1289.0	0.6936379042077623	1289.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	fibroblast	0.3334106846324354	1996.0	0.2481888789381863	1996.0	0.1673911516359463	1996.0	0.2041282871661382	1996.0	0.3379819403785417	1996.0	0.3358950938591958	1996.0	1.161291569264863	1996.0	0.6720798137152014	1996.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	keratinocyte	0.379125543429723	5707.0	0.2643558879648849	5707.0	0.1550941109015904	5707.0	0.1775776720729473	5707.0	0.4136309766567527	5707.0	0.3882543860859273	5707.0	1.3106483146414407	5707.0	0.7483644868753966	5707.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	mast_cell	0.227817715968291	270.0	0.1247823297352077	270.0	0.0625800457667519	270.0	0.0901296413917354	270.0	0.1885739468134663	270.0	0.1765661478047876	270.0	0.8162679026591539	270.0	0.4425872301439024	270.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	melanocyte	0.4258700191655033	417.0	0.3086573535454249	417.0	0.1890340201293249	417.0	0.2074821515902431	417.0	0.4654157223036824	417.0	0.4111024579500298	417.0	1.1523447639314204	417.0	0.6961327695850344	417.0																		
