source_table	axis	program_type	N_frozen_genes	N_tested_genes	beta	SE	P	FDR	direction	interpretation	observed_statistic	null_mean	null_SD	empirical_percentile	empirical_P	n_random_sets	null_set_id	target_genes	sampled_genes	fallback_draws	CORE_gene_count	mapped_gene_count	MHC_gene_count	MAGMA_MHC_excluded_beta	MAGMA_MHC_excluded_P	MAGMA_FDR	MAGMA_MHC_included_P	MHC_dependence	empirical_null_P	unique_gene_signal	conditional_signal	sLDSC_enrichment	sLDSC_P	genetic_specificity	final_genetic_tier	eligible_for_phase3b	eligible_for_comorbidity_phase
matched_null_generation_qc.tsv	F1																F1_NULL_0273	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0274	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0275	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0276	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0277	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0278	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0279	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0280	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0281	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0282	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0283	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0284	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0285	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0286	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0287	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0288	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0289	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0290	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0291	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0292	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0293	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0294	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0295	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0296	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0297	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0298	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0299	252.0	252.0	1.0																	
