donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	refined_state	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_inflammatory_T17	0.3209009296102215	8508	0.22145295080032526	8508	0.13354704780984877	8508	0.14657627333834858	8508	0.37600847487874556	8508	0.3517269746387537	8508	1.1546015165006476	8508	0.6587807240971221	8508
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_proliferative	0.3408511053202832	10	0.27074284787839986	10	0.19492853561914764	10	0.20067119410674739	10	0.47501117932368986	10	0.45721766084725174	10	1.3126773223625854	10	0.7826227283427689	10
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_spinous_suprabasal	0.2951576602610249	202	0.19909581607316199	202	0.12097442916049034	202	0.1456038792088226	202	0.2995814539255344	202	0.27714895885977087	202	0.9061200595840541	202	0.5234716251239124	202
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_stress_hypoxia	0.2561657729624777	6	0.20108792017060803	6	0.14632082985722974	6	0.162083330886633	6	0.3428619668788739	6	0.32832795578968865	6	1.1838046143808203	6	0.6791056902622655	6
P1	GSM7120449	baseline	lesional	True	mast_cell	mast_cell	0.15520459698168224	255	0.09297184014490321	255	0.05511023861998539	255	0.06901963689145285	255	0.1530107524245986	255	0.14161942862704574	255	0.7416042345974305	255	0.396744418827529	255
P1	GSM7120449	baseline	lesional	True	melanocyte	melanocyte_unresolved	0.384616005488002	151	0.2799739637986286	151	0.1778517244727098	151	0.19255263342279114	151	0.42338122614216794	151	0.3676553388425856	151	1.0540896523556953	151	0.632071379083996	151
P1	GSM7120449	baseline	lesional	True	myeloid_monocyte	dendritic_LAMP3_CCR7	0.2543281868624915	139	0.19506125144260614	139	0.1494635149510712	139	0.15559283140852048	139	0.36845044168676017	139	0.3482549209430614	139	1.2701882519947492	139	0.7387654709340321	139
P1	GSM7120449	baseline	lesional	True	myeloid_monocyte	myeloid_monocyte_macrophage	0.25759595450832257	586	0.197239631822252	586	0.14772936027163416	586	0.1544479812359538	586	0.37257833332503987	586	0.32848588953597146	586	1.157117966942035	586	0.683135249063753	586
P1	GSM7120449	baseline	lesional	True	myeloid_monocyte	myeloid_monocyte_unresolved	0.18632385011097125	4	0.10537731163874481	4	0.055697582562968834	4	0.07983093486510788	4	0.15606649465141373	4	0.1332852786240957	4	0.7320261629440054	4	0.38702278795613504	4
P1	GSM7120449	baseline	lesional	True	pericyte_smooth_muscle	pericyte_smooth_muscle_unresolved	0.3013667164861512	514	0.2271743621540991	514	0.18039062666353367	514	0.1919748308404595	514	0.3651924903287177	514	0.3562515541620641	514	1.2391199080798414	514	0.7017815141487226	514
