donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P2	GSM7120453	baseline	lesional	True	keratinocyte	0.31187192534336133	5148	0.20628979607686757	5148	0.11561860846719191	5148	0.1383139034375555	5148	0.3134299338455091	5148	0.2968525942333861	5148	1.0053840438503243	5148	0.5750569302286767	5148
P2	GSM7120453	baseline	lesional	True	mast_cell	0.17323644008679506	287	0.09126346612295919	287	0.0450043797926867	287	0.0686064888694518	287	0.12712858516508765	287	0.12245678071072563	287	0.6484239802931591	287	0.34517441233316287	287
P2	GSM7120453	baseline	lesional	True	melanocyte	0.3633408716267298	155	0.25851639518927144	155	0.1574943775172922	155	0.1708261904791791	155	0.4004072436184154	155	0.33832249719005514	155	0.9692459126341235	155	0.584162725300156	155
P2	GSM7120453	baseline	lesional	True	myeloid_monocyte	0.2271227188092262	1346	0.16249176951436908	1346	0.11637895824481072	1346	0.1336911786802697	1346	0.28908455025219	1346	0.26390678950167057	1346	0.9791918940682548	1346	0.5781395444960912	1346
P2	GSM7120453	baseline	lesional	True	pericyte_smooth_muscle	0.29016641943307	686	0.20896519569521385	686	0.1532195646328689	686	0.17633949973982802	686	0.32195700870726734	686	0.3224631675497629	686	1.145950922477858	686	0.6497035021006617	686
P2	GSM7120453	baseline	lesional	True	unassigned	0.08715621356411751	4	0.05438868849646687	4	0.03987471948042401	4	0.04410607080973969	4	0.08989765090237961	4	0.10459293356514648	4	0.69681343551705	4	0.34642671281953213	4
P2	GSM7120454	baseline	nonlesional	True	B_cell	0.26622210692278403	589	0.17736882332093745	589	0.11604916400927329	589	0.14111218336615802	589	0.2819693235057537	589	0.2787143262569779	589	1.0945166178811505	589	0.6166792232203826	589
P2	GSM7120454	baseline	nonlesional	True	NK_cell	0.33442291751741116	1	0.18872131844009182	1	0.10745850432980583	1	0.1414989364937515	1	0.2319246549296651	1	0.24612439493687582	1	0.8438026301007276	1	0.5188962073897005	1
P2	GSM7120454	baseline	nonlesional	True	T_cell	0.26879404134793894	24	0.18498827928259456	24	0.13324870412984016	24	0.14183381508829532	24	0.3176778066894661	24	0.31090997811839	24	1.2245742284610974	24	0.692338522270589	24
P2	GSM7120454	baseline	nonlesional	True	dendritic	0.2888152482837291	158	0.20787725195286844	158	0.1479947210938005	158	0.1638106382842458	158	0.37004527843337576	158	0.34618620729107485	158	1.2192125555522688	158	0.7199219274571934	158
P2	GSM7120454	baseline	nonlesional	True	endothelial	0.2825481967259933	818	0.19885562175697397	818	0.14046684210742033	818	0.16149483278448126	818	0.30375974474016443	818	0.30325614832840764	818	1.1946805234886053	818	0.6694550631106526	818
P2	GSM7120454	baseline	nonlesional	True	fibroblast	0.3050032829436649	2804	0.2340253798181758	2804	0.16319960803997224	2804	0.19493338344916844	2804	0.32684479894961965	2804	0.33591769788123615	2804	1.1905506599949862	2804	0.6847313864626658	2804
P2	GSM7120454	baseline	nonlesional	True	keratinocyte	0.29080776316908724	6168	0.19018602292623063	6168	0.10636498882969575	6168	0.12888115417899237	6168	0.2817756653169768	6168	0.26397757582717446	6168	0.9877585604054502	6168	0.5558237268430132	6168
P2	GSM7120454	baseline	nonlesional	True	mast_cell	0.22645217994493708	206	0.12317387662120921	206	0.06357990878344219	206	0.09197066207702882	206	0.1835446245289202	206	0.18276291029312475	206	0.9622833616740779	206	0.5112126043868996	206
P2	GSM7120454	baseline	nonlesional	True	melanocyte	0.3947481983735963	554	0.2801083306951626	554	0.16953685355571332	554	0.18787382754917262	554	0.41377585863587524	554	0.36146718112608045	554	1.0789457693474087	554	0.6460492580176732	554
P2	GSM7120454	baseline	nonlesional	True	myeloid_monocyte	0.27853902050138907	339	0.20260561153459566	339	0.14403826358690416	339	0.16282297374578816	339	0.35225853964524717	339	0.32191517154547666	339	1.1114853052988785	339	0.6620311497404443	339
P2	GSM7120454	baseline	nonlesional	True	pericyte_smooth_muscle	0.30865893307658243	1132	0.2260595992689021	1132	0.15726382519316504	1132	0.1842927251954339	1132	0.34134102884553535	1132	0.3537557170582959	1132	1.2559163020752482	1132	0.7080604884885144	1132
