gsm	donor_id	timepoint	tissue_state	file	bytes	sha256
GSM7120456	P2	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120456/GSM7120456_P2_V3_L.matrix.mtx.gz	156708447	3503b272fd2392150aca525d2f5d14bd3e7ca088da8a40b498196d34424c1f92
GSM7120460	P3	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120460/GSM7120460_P3_V3_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120460	P3	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120460/GSM7120460_P3_V3_L.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
GSM7120461	P4	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120461/GSM7120461_P4_V1_L.barcodes.tsv.gz	6019585	0e8b740ceed656ea04e93a82009875351d92c0a8bb94507a23b374a528c049db
GSM7120461	P4	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120461/GSM7120461_P4_V1_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120459	P3	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120459/GSM7120459_P3_V2_L.matrix.mtx.gz	85990860	380e0bac6f82dee7045cbd215a21049e448f0cbcd9a7376fb5b28bcb0f8b0df0
GSM7120462	P4	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120462/GSM7120462_P4_V1_NL.barcodes.tsv.gz	5626116	6eed34f4770858109e9ccb6fa258903540e1405cf0ed8ff57ded41fccca6db49
GSM7120462	P4	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120462/GSM7120462_P4_V1_NL.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120460	P3	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120460/GSM7120460_P3_V3_L.matrix.mtx.gz	87607398	2dfaa3e28ae8406a3a38a493cd7d058da9abfd0ba0618e474d4befe7929c0c7b
GSM7120463	P4	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120463/GSM7120463_P4_V2_L.barcodes.tsv.gz	5931113	f4061b851f94996effc09dd7e365a9598c865e3a1051949a5cac2fd7aa4cda66
GSM7120463	P4	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120463/GSM7120463_P4_V2_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120462	P4	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120462/GSM7120462_P4_V1_NL.matrix.mtx.gz	120729604	3bb36d18c4eef4c9aebf731a80e36ddb2c9ddbecd79caac0f1f667571612582b
GSM7120464	P4	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120464/GSM7120464_P4_V3_L.barcodes.tsv.gz	6751810	c32b28f63b502edf5b35bea234e8fd044c5a33ff2a86e3c08f74a09c887dddd0
