# MEAN_SAMPLE_SIZE = 82975
# TOTAL_GENES = 18005
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
F1_NULL_0227       SET     252   -0.0011407    -0.000134     0.064795      0.50702
F1_NULL_0228       SET     252     0.065352    0.0076774     0.059485      0.13597
F1_NULL_0229       SET     252     0.015688     0.001843     0.062303       0.4006
F1_NULL_0230       SET     252     -0.07224   -0.0084866     0.060058      0.88547
F1_NULL_0231       SET     252    -0.077827    -0.009143      0.06184      0.89589
F1_NULL_0232       SET     252     0.059232    0.0069584     0.059459      0.15959
F1_NULL_0233       SET     252      0.10553     0.012398     0.064535     0.051002
F1_NULL_0234       SET     252     -0.15392    -0.018082     0.060135      0.99475
F1_NULL_0235       SET     252    -0.092501    -0.010867     0.063054       0.9288
F1_NULL_0236       SET     252     0.040245    0.0047279     0.061725       0.2572
F1_NULL_0237       SET     252     0.010267    0.0012062      0.06166      0.43388
F1_NULL_0238       SET     252     0.008577    0.0010076     0.060061      0.44322
F1_NULL_0239       SET     252     0.055271    0.0064931     0.059631        0.177
F1_NULL_0240       SET     252   -0.0092947   -0.0010919     0.061058       0.5605
F1_NULL_0241       SET     252    -0.041962   -0.0049296     0.060868      0.75471
F1_NULL_0242       SET     252    -0.020432   -0.0024003     0.062751      0.62763
F1_NULL_0243       SET     252     0.066699    0.0078356     0.060246      0.13413
F1_NULL_0244       SET     252    -0.043797   -0.0051451     0.062072      0.75977
F1_NULL_0245       SET     252    -0.085229    -0.010012     0.060352      0.92104
F1_NULL_0246       SET     252     0.043002    0.0050517     0.062049      0.24415
F1_NULL_0247       SET     252     0.060835    0.0071467     0.061386      0.16084
F1_NULL_0248       SET     252    -0.053117   -0.0062401     0.059813      0.81274
F1_NULL_0249       SET     252     0.028234    0.0033169     0.060577      0.32058
F1_NULL_0250       SET     252     0.074395    0.0087397     0.061414      0.11289
F1_NULL_0251       SET     252     0.025175    0.0029575     0.060972      0.33985
F1_NULL_0252       SET     252     0.057466     0.006751     0.060665      0.17176
F1_NULL_0253       SET     252    -0.018896   -0.0022199     0.062657      0.61851
F1_NULL_0254       SET     252     0.005074   0.00059608     0.060633      0.46665
F1_NULL_0255       SET     252    -0.025442   -0.0029889     0.059554      0.66538
F1_NULL_0256       SET     252    -0.080779   -0.0094897     0.061677      0.90485
F1_NULL_0257       SET     252   -0.0049709  -0.00058397     0.058713      0.53374
F1_NULL_0258       SET     252    -0.015288    -0.001796     0.061164      0.59868
F1_NULL_0259       SET     252    0.0047305   0.00055573     0.060392      0.46878
F1_NULL_0260       SET     252     0.062456    0.0073372     0.062008      0.15692
F1_NULL_0261       SET     252    -0.072654   -0.0085352     0.060242      0.88609
F1_NULL_0262       SET     252     0.064411    0.0075669     0.062494      0.15135
F1_NULL_0263       SET     252    -0.067848   -0.0079706     0.059855       0.8715
F1_NULL_0264       SET     252    -0.030374   -0.0035682     0.060526       0.6921
F1_NULL_0265       SET     252    -0.018412    -0.002163     0.062306       0.6162
F1_NULL_0266       SET     252    -0.081078   -0.0095248      0.06074      0.90903
F1_NULL_0267       SET     252    0.0096518    0.0011339     0.062289      0.43843
