sample_id	source_file	pc1	pc2	pca_scope
6008-0005	Skin_norm_counts_d.txt	29.35075631515097	12.934620775652103	discovery_skin_baseline_norm
6010-0006	Skin_norm_counts_d.txt	-21.46760839446934	-12.810519791695457	discovery_skin_baseline_norm
6010-0005	Skin_norm_counts_d.txt	35.63895780721115	1.3641149326739082	discovery_skin_baseline_norm
6012-0006	Skin_norm_counts_d.txt	-31.953184339198497	16.730748234493102	discovery_skin_baseline_norm
6012-0005	Skin_norm_counts_d.txt	16.827448600119407	18.950818983492194	discovery_skin_baseline_norm
6013-0006	Skin_norm_counts_d.txt	-31.20642301878575	1.750677503771649	discovery_skin_baseline_norm
6013-0005	Skin_norm_counts_d.txt	19.624476609693314	0.2391446278923094	discovery_skin_baseline_norm
6014-0005	Skin_norm_counts_d.txt	33.919186312620894	-4.25720500089899	discovery_skin_baseline_norm
6014-0006	Skin_norm_counts_d.txt	-38.680974069485316	17.30284383290701	discovery_skin_baseline_norm
6016-0006	Skin_norm_counts_d.txt	-21.91759486141298	-21.440014686916218	discovery_skin_baseline_norm
6016-0005	Skin_norm_counts_d.txt	13.225681455865292	12.57974399695077	discovery_skin_baseline_norm
6017-0006	Skin_norm_counts_d.txt	-27.48657471770346	9.769798819702599	discovery_skin_baseline_norm
6017-0005	Skin_norm_counts_d.txt	18.554036947400885	15.58615159642165	discovery_skin_baseline_norm
6018-0006	Skin_norm_counts_d.txt	-39.92549851139568	19.844998782474235	discovery_skin_baseline_norm
6018-0005	Skin_norm_counts_d.txt	23.44161121854317	8.21287420984653	discovery_skin_baseline_norm
6019-0005	Skin_norm_counts_d.txt	35.27834276253328	8.265610318955389	discovery_skin_baseline_norm
6019-0006	Skin_norm_counts_d.txt	-24.97014549677632	6.499081310479628	discovery_skin_baseline_norm
6020-0005	Skin_norm_counts_d.txt	7.570705719118022	14.734243116378321	discovery_skin_baseline_norm
6020-0006	Skin_norm_counts_d.txt	-36.43750930025951	14.99842389012851	discovery_skin_baseline_norm
6021-0006	Skin_norm_counts_d.txt	-15.488933208954007	-10.638928779359388	discovery_skin_baseline_norm
