patient_id	F1	F2	F3	F4	F5	F6	F7	F8
6002	0.20926595	-0.3074377	0.021631556	0.16433375	-0.59879595	0.28206468	0.7601831	-0.34934548
6003	0.09211816	-0.24740963	-0.46118024	1.2358521	0.20792013	0.82293105	1.2138102	1.0005801
6004	-0.011282443	0.5716339	-0.8689975	0.28392628	-1.6665229	0.59222144	0.6931537	-0.764274
6005	1.2234136	0.21323273	-1.4948603	-0.41999125	0.17163876	-0.0018128888	0.4187387	-0.12158194
6006	0.66344553	1.5946378	-0.6200251	-0.22794966	-0.024695039	-0.20243275	0.35093006	-0.97605675
6007	-1.5984688	-0.53019434	2.5812428	-0.2503793	1.5059564	-0.95010936	0.37569684	0.43382105
6008	0.6162835	-1.1268125	-1.0299858	0.92990035	0.09459699	0.15583901	1.4445121	0.8616526
6010	-0.23761265	-0.056344017	-0.92429173	1.9431823	-0.944613	0.1789586	-0.18621923	0.07486894
6012	1.9585638	1.7823675	-0.37233597	1.6793898	0.97011995	-0.23630549	-0.06530465	-0.28310388
6013	0.82101554	0.7027185	-0.37829375	1.2956996	-0.6178872	-0.41736507	-0.111935265	-0.2883328
6014	-0.55699223	0.4457415	-1.0190868	0.84035796	-1.5328017	0.4269525	-0.34319633	-0.72117347
6016	-2.8891664	-0.9970156	-0.008515947	-0.045573957	2.9785855	-0.3580593	-0.7283593	1.1295971
6017	1.3865697	0.45554045	-1.9675552	0.7783307	0.6882975	-0.59343	-0.28436497	-0.11844195
6018	0.72084475	1.542261	-0.46033752	0.9392818	-0.365902	0.07118497	-0.04613356	0.78485876
6019	-2.9522185	-2.908824	-0.7010407	0.16253097	0.6096106	-0.95088357	-0.67872936	-3.403511
6020	1.5353223	1.3749485	0.513719	0.4134851	1.2613019	0.58457464	-0.2615442	-0.6142964
6021	0.44352907	-0.13849658	-1.2182566	0.4408422	0.4497914	-0.60364544	-0.84086114	-0.4226201
6022	1.0245484	1.6820375	2.9540842	-1.2442966	0.48787424	0.50572515	-1.151003	-0.96900606
6023	2.0381038	-0.561845	0.44279414	-0.386406	0.4381449	-1.4494154	-0.76998466	0.83693486
6024	-0.046661727	-0.28417242	-0.5259861	-0.22694899	-1.0265878	-0.9472498	-0.70220673	-0.06782166
6025	2.141752	0.15732864	1.1021633	1.7852477	1.2167796	0.13313292	0.36593878	1.0324243
6026	1.0267422	-1.1638653	-0.51094115	-0.060911085	0.5803708	-0.08889271	-0.9165019	1.2808849
6028	0.6337597	-0.17518377	0.07123865	0.40760997	0.3425356	1.0368685	-0.5506795	-0.91481835
6029	-0.4852704	-0.4628596	-0.77773124	1.2409399	-0.9627858	-0.36980978	0.23287068	1.1872972
6030	-0.11731963	-2.199795	-0.21476983	0.1894675	0.8721482	0.65485644	-0.87625295	-0.9713331
6031	0.029241055	-0.7885161	-0.9988417	-0.1916433	-0.34953284	0.5958926	-0.6783994	-0.6675523
6032	-0.7832532	0.9804802	0.28878477	0.4017378	0.19179755	1.0874388	-0.5974263	0.0060099214
6033	-0.33132297	-0.338626	0.75664616	-0.16291569	0.33797163	0.51730096	-1.0075494	0.48574716
6034	0.041282948	-0.02376377	0.12723105	-0.35372278	-1.6461126	-0.5885571	-1.0032567	1.1389489
6035	0.5297914	0.10772022	2.311402	0.16770335	0.067269534	-0.8926824	-0.10854926	0.2934023
6036	-1.2961687	-1.4787406	-0.1273201	1.265385	-2.1386583	0.60597795	-0.25687048	0.92919016
6038	2.0906377	-0.5455684	-1.8723689	0.893717	0.5204438	-1.3970269	-0.5426034	1.0217093
6039	-0.39337516	0.04449346	2.2291162	-0.61485434	-0.7216613	-0.17069693	-0.46442586	0.76088834
6040	-1.0169309	-1.5873384	-1.4213941	1.1704978	-0.015056934	2.9450526	0.017091624	-0.1374795
6041	-0.5784865	0.5904082	0.6493463	-0.46985295	0.14833672	0.23308086	-1.1647394	0.5406512
